COUNTY,CLINTON,CLINTON,TRUMP,TRUMP,JOHNSON,JOHNSON,OTHERS%,OTHERS#,TOTAL[19]
ADAMS,49.86%,96558,41.35%,80082,5.11%,9893,3.70%,7144,193677
ALAMOSA,45.96%,3189,43.90%,3046,5.84%,405,4.31%,299,6939
ARAPAHOE,52.76%,159885,38.63%,117053,5.28%,16002,3.33%,10108,303048
ARCHULETA,34.06%,2500,58.10%,4264,4.51%,331,3.32%,244,7339
BACA,13.14%,283,81.42%,1753,2.37%,51,3.07%,66,2153
BENT,30.62%,590,61.65%,1188,4.31%,83,3.42%,66,1927
BOULDER,70.34%,132334,22.00%,41396,4.27%,8034,3.39%,6381,188145
BROOMFIELD,52.35%,19731,38.12%,14367,5.77%,2174,3.76%,1418,37690
CHAFFEE,43.45%,4888,47.92%,5391,4.77%,537,3.86%,434,11250
CHEYENNE,11.98%,132,83.94%,925,2.81%,31,1.26%,14,1102
CLEAR CREEK,46.52%,2729,43.90%,2575,6.22%,365,3.36%,197,5866
CONEJOS,44.03%,1771,47.59%,1914,4.13%,166,4.25%,171,4022
COSTILLA,60.88%,1125,31.82%,588,4.49%,83,2.81%,52,1848
CROWLEY,22.20%,339,70.66%,1079,4.13%,63,3.02%,46,1527
CUSTER,25.99%,797,67.22%,2061,4.60%,141,2.18%,67,3066
DELTA,24.34%,4087,69.42%,11655,2.83%,475,3.41%,573,16790
DENVER,73.69%,244551,18.89%,62690,4.48%,14861,2.94%,9750,331852
DOLORES,19.28%,242,75.22%,944,2.47%,31,3.04%,38,1255
DOUGLAS,36.62%,68657,54.71%,102573,5.45%,10212,3.23%,6058,187500
EAGLE,55.90%,14099,35.64%,8990,5.42%,1368,3.04%,766,25223
EL PASO,33.86%,108010,56.19%,179228,6.23%,19877,3.71%,11853,318968
ELBERT,19.61%,3134,73.26%,11705,4.17%,666,2.97%,475,15980
FREMONT,24.11%,5297,68.82%,15122,4.05%,890,3.03%,664,21973
GARFIELD,42.58%,11271,49.61%,13132,4.29%,1135,3.53%,932,26470
GILPIN,45.69%,1634,43.79%,1566,5.40%,193,5.12%,183,3576
GRAND,39.10%,3358,52.33%,4494,5.67%,487,2.90%,249,8588
GUNNISON,54.48%,5128,34.94%,3289,6.32%,595,4.25%,400,9412
HINSDALE,33.45%,197,57.56%,339,4.58%,27,4.42%,26,589
HUERFANO,43.17%,1633,49.78%,1883,3.99%,151,3.06%,116,3783
JACKSON,19.86%,171,73.05%,629,4.76%,41,2.32%,20,861
JEFFERSON,48.89%,160776,42.01%,138177,5.64%,18537,3.47%,11393,328883
KIOWA,10.64%,91,85.15%,728,2.81%,24,1.40%,12,855
KIT CARSON,14.48%,536,80.15%,2967,2.57%,95,2.81%,104,3702
LA PLATA,49.84%,15525,40.41%,12587,6.03%,1878,3.72%,1160,31150
LAKE,50.52%,1616,39.70%,1270,5.41%,173,4.39%,140,3199
LARIMER,47.51%,93113,42.57%,83430,5.87%,11510,4.04%,7928,195981
LAS ANIMAS,39.01%,2650,54.62%,3710,3.69%,251,2.68%,182,6793
LINCOLN,16.79%,409,77.67%,1892,3.16%,77,2.38%,58,2436
LOGAN,19.04%,1851,74.90%,7282,3.28%,319,2.78%,270,9722
MESA,27.98%,21729,64.10%,49779,4.73%,3675,3.18%,2471,77654
MINERAL,36.35%,237,52.76%,344,6.44%,42,4.45%,29,652
MOFFAT,13.39%,874,81.30%,5305,2.74%,179,2.57%,167,6525
MONTEZUMA,30.90%,3973,61.07%,7853,4.23%,544,3.79%,488,12858
MONTROSE,25.80%,5466,67.88%,14382,3.47%,735,2.85%,603,21186
MORGAN,26.35%,3151,68.10%,8145,2.93%,350,2.63%,314,11960
OTERO,34.82%,2943,58.31%,4928,3.79%,320,3.08%,261,8452
OURAY,51.27%,1697,40.82%,1351,4.53%,150,3.38%,112,3310
PARK,32.84%,3421,58.89%,6135,4.89%,509,3.38%,352,10417
PHILLIPS,18.70%,436,76.80%,1791,2.57%,60,1.93%,45,2332
PITKIN,69.69%,7333,24.23%,2550,3.55%,374,2.53%,266,10523
PROWERS,23.64%,1186,70.39%,3531,3.09%,155,2.88%,144,5016
PUEBLO,45.62%,35875,46.11%,36265,5.18%,4072,3.09%,2434,78646
RIO BLANCO,12.64%,436,80.90%,2791,3.42%,118,3.04%,105,3450
RIO GRANDE,36.16%,2001,55.75%,3085,4.19%,232,3.90%,216,5534
ROUTT,54.34%,7600,37.39%,5230,5.16%,722,3.10%,434,13986
SAGUACHE,49.98%,1417,40.46%,1147,3.25%,92,6.31%,179,2835
SAN JUAN,52.37%,265,42.49%,215,3.36%,17,1.79%,9,506
SAN MIGUEL,68.72%,2975,23.86%,1033,3.56%,154,3.87%,167,4329
SEDGWICK,19.57%,267,74.41%,1015,2.05%,28,3.96%,54,1364
SUMMIT,59.09%,9557,31.53%,5100,6.18%,1000,3.20%,517,16174
TELLER,24.94%,3603,67.47%,9745,4.67%,674,2.92%,422,14444
WASHINGTON,10.83%,296,84.12%,2299,3.00%,82,2.05%,56,2733
WELD,34.45%,46519,56.60%,76651,5.53%,7487,3.52%,4773,135430
YUMA,15.15%,726,80.36%,3850,2.46%,118,2.02%,97,4791
COLORADO TOTAL,48.16%,1338870,43.25%,1202484,5.18%,144121,3.41%,94772,2780247
