2016 UNITED STATES PRESIDENTIAL ELECTION IN NEW YORK[9],2016 UNITED STATES PRESIDENTIAL ELECTION IN NEW YORK[9].1,2016 UNITED STATES PRESIDENTIAL ELECTION IN NEW YORK[9].2,2016 UNITED STATES PRESIDENTIAL ELECTION IN NEW YORK[9].3,2016 UNITED STATES PRESIDENTIAL ELECTION IN NEW YORK[9].4,2016 UNITED STATES PRESIDENTIAL ELECTION IN NEW YORK[9].5,2016 UNITED STATES PRESIDENTIAL ELECTION IN NEW YORK[9].6
PARTY,PARTY.1,CANDIDATE,RUNNING MATE,VOTES,PERCENTAGE,ELECTORAL VOTES
,DEMOCRATIC,HILLARY CLINTON,HILLARY CLINTON,4379783,56.72%,
,WORKING FAMILIES,HILLARY CLINTON,HILLARY CLINTON,140043,1.83%,
,WOMEN'S EQUALITY,HILLARY CLINTON,HILLARY CLINTON,36292,0.47%,
,TOTAL,HILLARY CLINTON,TIM KAINE,4556118,59.01%,29.0
,REPUBLICAN,DONALD TRUMP,DONALD TRUMP,2527141,32.73%,
,CONSERVATIVE,DONALD TRUMP,DONALD TRUMP,292392,3.78%,
,TOTAL,DONALD TRUMP,MIKE PENCE,2819533,36.52%,0.0
,INDEPENDENCE,GARY JOHNSON,GARY JOHNSON,119160,1.55%,0.0
,LIBERTARIAN,GARY JOHNSON,GARY JOHNSON,57438,0.75%,0.0
,TOTAL,GARY JOHNSON,BILL WELD,176598,2.29%,
,GREEN,JILL STEIN,AJAMU BARAKA,107935,1.40%,0.0
,WRITE-IN,EVAN MCMULLIN,EVAN MCMULLIN,10397,0.13%,0.0
,OTHERS / WRITE-INS,OTHERS / WRITE-INS,OTHERS / WRITE-INS,50861,0.66%,0.0
TOTALS,TOTALS,TOTALS,TOTALS,7721442,100.00%,29.0
